ProductDescriptionID;Description;rowguid;ModifiedDate
1360;ProductDescriptionID;Description;rowguid;ModifiedDate
3;Chromoly steel.;{301EED3A-1A82-4855-99CB-2AFE8290D641};2013-04-30 00:00:00
4;Aluminum alloy cups; large diameter spindle.;{DFEBA528-DA11-4650-9D86-CAFDA7294EB0};2013-04-30 00:00:00
5;Aluminum alloy cups and a hollow axle.;{F7178DA7-1A7E-4997-8470-06737181305E};2013-04-30 00:00:00
8;Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.;{8E6746E5-AD97-46E2-BD24-FCEA075C3B52};2013-04-30 00:00:00
64;This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.;{7B1C4E90-85E2-4792-B47B-E0C424E2EC94};2013-04-30 00:00:00
88;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;{4C1AD253-357E-4A98-B02E-02180AA406F6};2013-04-30 00:00:00
128;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;{130709E6-8512-49B9-9F62-1F5C99152056};2014-02-08 10:32:17.973000000
168;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;{DB979DA6-4CC8-4171-9ECF-65003FF8178A};2013-04-30 00:00:00
170;Suitable for any type of off-road trip. Fits any budget.;{EA772412-6369-4416-9CC9-C1A5D1FF9C52};2013-04-30 00:00:00
209;Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.;{F5FF5FFD-CB7C-4AD6-BBC9-4D250BB6E98D};2013-04-30 00:00:00
249;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;{4291F144-7693-4460-8B0B-1373E0433021};2013-04-30 00:00:00
320;Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.;{E130DED9-D0EC-4656-BF4D-1A3A46491891};2013-04-30 00:00:00
321;Same technology as all of our Road series bikes.  Perfect all-around bike for road or racing.;{C7B429DA-DC51-47DB-A18E-5891E76CCC16};2013-04-30 00:00:00
337;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;{DB560F0B-E70B-42A7-A1F5-3B7E42D3679D};2013-04-30 00:00:00
375;Cross-train, race, or just socialize on a sleek, aerodynamic bike.  Advanced seat technology provides comfort all day.;{747B2185-0320-4FE5-8E8F-27B84A40A838};2013-04-30 00:00:00
376;Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.;{F1D9955B-BC1C-4D34-BE8B-CDEE33E77087};2013-04-30 00:00:00
409;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;{3DC76714-7572-4547-9D79-ABB708950B2C};2013-04-30 00:00:00
457;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;{3DDB8DEA-FC37-4E44-8C1D-0BF7C6A723E3};2013-04-30 00:00:00
513;All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.;{741EAE59-5E59-4DBC-9086-2633392C2582};2013-04-30 00:00:00
554;The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.;{DDC955B2-843E-49CE-8F7B-54870F6135EB};2013-04-30 00:00:00
594;Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.;{32B82C92-E545-4DA0-A175-0BE710B482FE};2013-04-30 00:00:00
613;Superior shifting performance.;{9C7D8618-A3C3-4C0F-8C72-2E10124E88CA};2013-04-30 00:00:00
618;Super rigid spindle.;{E15FFA7E-BDE8-4DE1-8E81-F197A56E0C9D};2013-04-30 00:00:00
619;High-strength crank arm.;{B62B08AC-A6DA-43BC-950F-2DE2EB5720EB};2013-04-30 00:00:00
620;Triple crankset; alumunim crank arm; flawless shifting.;{E944D225-C6A7-4FA6-A31F-B6CE95E53203};2013-04-30 00:00:00
627;All-weather brake pads; provides superior stopping by applying more surface to the rim.;{EBF2F0A4-89F2-4D31-BE48-D8FD278F3024};2013-04-30 00:00:00
630;Wide-link design.;{28C4682C-38B2-4B61-A2AE-BCAC7C7CE29B};2013-04-30 00:00:00
633;Stout design absorbs shock and offers more precise steering.;{27CCCDBF-7E02-4328-9C05-E406BD2E5A60};2013-04-30 00:00:00
634;Composite road fork with an aluminum steerer tube.;{53EE20F0-1DE9-44C2-8A5D-4CFA349F1A07};2013-04-30 00:00:00
635;High-performance carbon road fork with curved legs.;{C2399002-E273-409B-8164-42F6E6BFCC6C};2013-04-30 00:00:00
637;Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.;{F49EE591-B110-4CF5-BC17-62BB838DC58A};2013-04-30 00:00:00
642;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.;{35FBEEFD-10E6-4420-B0AE-051B57FEFF36};2013-04-30 00:00:00
644;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.;{E4B9F9B5-7428-4B34-B8EA-3FB6EE4BC4F8};2013-04-30 00:00:00
647;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;{7AD9E29F-16CF-4DB0-B073-CC62D501B61A};2013-04-30 00:00:00
661;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;{D61C9D54-22C3-4563-A418-0B9DC7E03850};2013-04-30 00:00:00
686;Replacement mountain wheel for entry-level rider.;{7DCC4B3A-7E9A-4EEC-AAEE-0E841CDBBEBC};2013-04-30 00:00:00
687;Replacement mountain wheel for the casual to serious rider.;{FD18E90E-527A-4E12-9F52-6C07AC6EC3E8};2013-04-30 00:00:00
688;High-performance mountain replacement wheel.;{D42F33D8-59A8-4A69-9A5B-970FC4D8F745};2013-04-30 00:00:00
689;Replacement road front wheel for entry-level cyclist.;{092782AB-1A5E-464B-9819-AD8E240CAA31};2013-04-30 00:00:00
690;Sturdy alloy features a quick-release hub.;{DE38FBD2-7FA8-4A53-9E68-7698B85C6745};2013-04-30 00:00:00
691;Strong wheel with double-walled rim.;{26AB2ED2-D091-4A0A-8185-E9FEF31E07D4};2013-04-30 00:00:00
692;Aerodynamic rims for smooth riding.;{B7DD5FBE-0FE5-4823-9587-93E434C8D54B};2013-04-30 00:00:00
697;All-purpose bar for on or off-road.;{588E01B9-B814-4C24-9FA8-13426BCE8015};2013-04-30 00:00:00
698;Tough aluminum alloy bars for downhill.;{11F00C5F-7368-4705-92AF-58D1E82C08C6};2013-04-30 00:00:00
699;Flat bar strong enough for the pro circuit.;{C0E9BE9D-2FA1-423E-885B-D09B94D46A5E};2013-04-30 00:00:00
700;Unique shape provides easier reach to the levers.;{30B6F312-1716-4AF2-88CF-EC63FC047B18};2013-04-30 00:00:00
701;Anatomically shaped aluminum tube bar will suit all riders.;{04945427-A874-48F4-9D65-140EDF814CCC};2013-04-30 00:00:00
702;Designed for racers; high-end anatomically shaped bar from aluminum alloy.;{1DA8FAEB-2F2E-43B7-B869-9FCE371B8409};2013-04-30 00:00:00
703;Unique shape reduces fatigue for entry level riders.;{89E10DBB-CE1F-43A7-BAE3-579447FB6EE4};2013-04-30 00:00:00
704;A light yet stiff aluminum bar for long distance riding.;{DA790B2B-8AAD-485B-B1A9-CCBED7D1D09D};2013-04-30 00:00:00
744;Threadless headset provides quality at an economical price.;{438B7135-8104-4E80-942B-E4B9441AB8DA};2013-04-30 00:00:00
745;Sealed cartridge keeps dirt out.;{0B1C704B-D91A-432E-897C-54633C7F0748};2013-04-30 00:00:00
746;High-quality 1" threadless headset with a grease port for quick lubrication.;{584C3390-088A-4995-8E6D-1F7FA08C1675};2013-04-30 00:00:00
847;Expanded platform so you can ride in any shoes; great for all-around riding.;{509C5517-89E3-4A06-BDA2-E3892A868C09};2013-04-30 00:00:00
848;Lightweight, durable, clipless pedal with adjustable tension.;{03ACBB19-749A-48A1-B77E-5D2A48E8DC3A};2013-04-30 00:00:00
849;Stainless steel; designed to shed mud easily.;{DAD9FD48-510C-46CB-95E5-77EAC3472976};2013-04-30 00:00:00
850;Clipless pedals - aluminum.;{3643C62A-B4F2-4BFC-AB03-40486C3D0FF9};2013-04-30 00:00:00
851;Lightweight aluminum alloy construction.;{0B605DE4-FF6B-40BA-9A5D-D4D6211CD07E};2013-04-30 00:00:00
852;Top-of-the-line clipless pedals with adjustable tension.;{41C6CE78-B089-4E0B-9B91-E57A6BB010DC};2013-04-30 00:00:00
853;A stable pedal for all-day riding.;{FD705716-8E54-4896-9B86-AFBDAA6F9759};2013-04-30 00:00:00
856;Refillable shoes; polished aluminum calipers.;{87CCA1C1-9502-4F58-A8C7-E920220FA106};2013-04-30 00:00:00
858;10-speed aluminum derailleur with sealed pulley bearings.;{E2DD66AD-6115-4C94-9884-CEC7466BCF6C};2013-04-30 00:00:00
867;Replacement rear mountain wheel for entry-level rider.;{21680B71-10BE-4672-92A8-6663F38A76B0};2013-04-30 00:00:00
868;Replacement rear mountain wheel for the casual to serious rider.;{D316C44E-D714-4FB8-A4BA-A2FE6FC029C8};2013-04-30 00:00:00
869;Extra-strong rims guarantee durability.;{963410EE-29AC-4E6B-8AEA-1A40E3F04CD6};2013-04-30 00:00:00
870;Replacement rear wheel for entry-level cyclist.;{DE6FB8F1-84AA-48D9-8A24-268695D3155E};2013-04-30 00:00:00
871;Aluminum alloy rim with stainless steel spokes; built for speed.;{9728BB39-E515-47D8-BF9B-A3C8C2129E45};2013-04-30 00:00:00
872;Strong rear wheel with double-walled rim.;{834081BE-158F-41A6-8D0C-1E7B4D3ABBA3};2013-04-30 00:00:00
873;Excellent aerodynamic rims guarantee a smooth ride.;{E055EFC7-5F01-4D4D-B024-33AB5B6C6AD1};2013-04-30 00:00:00
885;Synthetic leather. Features gel for increased comfort.;{FB8C8ABB-4A51-4852-A870-6047B8834D22};2013-04-30 00:00:00
886;Designed to absorb shock.;{F016E3D7-6177-43A3-8BFF-160320966471};2014-02-08 10:32:17.973000000
887;Anatomic design for a full-day of riding in comfort. Durable leather.;{BAF38C0E-69BF-4F6C-805A-C7C1C6E9056A};2013-04-30 00:00:00
888;Lightweight foam-padded saddle.;{76153F63-2A1C-4EE6-BBCF-0585D8AC8C55};2013-04-30 00:00:00
889;Rubber bumpers absorb bumps.;{289FB4CA-B70A-458E-AAFB-D13CB073058C};2013-04-30 00:00:00
890;Lightweight kevlar racing saddle. Leather.;{DEE34939-FC85-401A-930B-75EBEBF7FFE1};2013-04-30 00:00:00
891;Comfortable, ergonomically shaped gel saddle.;{DD890D9D-0143-4476-B489-86D8D6094AA4};2013-04-30 00:00:00
892;New design relieves pressure for long rides.;{3410C26D-01A6-416F-898A-43228FA1FAD6};2013-04-30 00:00:00
893;Cut-out shell for a more comfortable ride.;{19DA3868-1559-462F-8098-00BE37BDBEDC};2013-04-30 00:00:00
903;Comparible traction, less expensive wire bead casing.;{B83BE4A3-A95B-4D96-81DE-16325F0DF11E};2013-04-30 00:00:00
904;Great traction, high-density rubber.;{E917F093-2A28-496B-AEBF-A704CD738038};2013-04-30 00:00:00
905;Incredible traction, lightweight carbon reinforced.;{1153E56D-B9E1-458E-A2BB-D6D6362C5B05};2013-04-30 00:00:00
906;Same great treads as more expensive tire with a less expensive wire bead casing.;{2E1975DE-21B8-4EC9-9998-6F39E14D476C};2013-04-30 00:00:00
907;Higher density rubber.;{DCBC8264-C4D7-4B04-9531-92AB4C868C10};2013-04-30 00:00:00
908;Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.;{61C5EA6B-1ACA-4147-908E-5A7EB753E1BB};2013-04-30 00:00:00
909;High-density rubber.;{AC6C74A4-9AED-4EB8-8800-EFE07516FCDB};2013-04-30 00:00:00
912;Self-sealing tube.;{B9F94C67-9B0A-42D4-BE78-9401AC9AA833};2013-04-30 00:00:00
913;Conventional all-purpose tube.;{2E55DCF6-FD71-4C7B-A631-1D62AE802190};2013-04-30 00:00:00
914;General purpose tube.;{8C0661B2-E4DC-4333-8F32-9A5C8CA37181};2013-04-30 00:00:00
1020;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;{F4C70A6B-BBE8-4774-9D75-393D3F315E9B};2013-04-30 00:00:00
1062;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;{93E456BB-0E31-4A33-B3BD-73936B8AC6CC};2013-04-30 00:00:00
1090;Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.;{7054C83C-BD9B-4E24-8476-4D1B37BB08DF};2013-04-30 00:00:00
1146;Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.;{39A06654-8E9A-4B56-A943-FCA2598BC444};2013-04-30 00:00:00
1182;The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.;{87A7609B-8CFF-4B60-9AF0-E0E5045E4A2D};2013-04-30 00:00:00
1183;Affordable light for safe night riding - uses 3 AAA batteries;{23A26944-4A02-4ADD-962F-781866953D87};2013-04-30 00:00:00
1185;Aluminum cage is lighter than our mountain version; perfect for long distance trips.;{75967899-B31B-4901-8EFA-B5A065CDFD55};2013-04-30 00:00:00
1186;AWC logo water bottle - holds 30 oz; leak-proof.;{AE1C08E7-51B0-45B3-8AA6-A534A0458CF6};2013-04-30 00:00:00
1187;Carries 4 bikes securely; steel construction, fits 2" receiver hitch.;{7EEB1BA1-4A5E-43CB-9597-4D35FE1F734C};2013-04-30 00:00:00
1188;Clip-on fenders fit most mountain bikes.;{79B17D0A-4083-48B0-8202-4E7B3FB4B263};2013-04-30 00:00:00
1189;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;{02933A22-6F9C-44AC-ADC3-C1520C11C478};2013-04-30 00:00:00
1191;Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.;{D978EDC0-2433-4E19-9B28-D768262D52F2};2013-04-30 00:00:00
1192;Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.;{20D76517-8D95-4537-AB70-BA77A71C70F1};2013-04-30 00:00:00
1193;Durable, water-proof nylon construction with easy access. Large enough for weekend trips.;{F9BA1D01-74FB-4392-8D83-352696CB6B7F};2013-04-30 00:00:00
1194;Full padding, improved finger flex, durable palm, adjustable closure.;{40E2C08F-FE0C-4835-9DF5-F86DD0A59586};2013-04-30 00:00:00
1195;Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.;{FF92155C-7117-4FA6-8AC5-6B18A306698A};2013-04-30 00:00:00
1196;Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.;{C65BEE64-4DBA-47EC-91CD-31356BA379E1};2013-04-30 00:00:00
1197;Includes 8 different size patches, glue and sandpaper.;{132DC806-E073-4C86-8EB8-7EB04E1193A6};2013-04-30 00:00:00
1199;Light-weight, wind-resistant, packs to fit into a pocket.;{53E49876-BFE9-43B6-9DF6-F928390F1A8C};2013-04-30 00:00:00
1200;Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.;{7BEB5453-7850-4C98-9D37-ABBE84BEE23D};2013-04-30 00:00:00
1201;Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.;{80DED62F-01C9-42F0-A576-45376C6A24A0};2013-04-30 00:00:00
1202;Rechargeable dual-beam headlight.;{D179DEC6-D07A-4BAB-9F8F-5D4A33DBC60C};2013-04-30 00:00:00
1203;Rugged weatherproof headlight.;{E2A63393-6441-43DD-960D-AFE9C83213A0};2013-04-30 00:00:00
1205;Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.;{58D86EDE-0519-4263-A264-A2B5B01A6C7B};2013-04-30 00:00:00
1206;Simple and light-weight. Emergency patches stored in handle.;{DCE0274A-C78E-4A1D-9DC3-04A378C69D91};2013-04-30 00:00:00
1208;Thin, lightweight and durable with cuffs that stay up.;{9F436663-525D-4CC2-85BA-47D20BCEA0EC};2013-04-30 00:00:00
1209;Tough aluminum cage holds bottle securly on tough terrain.;{AD46EB52-A863-425E-B81B-16D2F76984C9};2013-04-30 00:00:00
1210;Traditional style with a flip-up brim; one-size fits all.;{66F84B21-1A43-49D3-8883-09CDB77FFFEF};2013-04-30 00:00:00
1211;Unisex long-sleeve AWC logo microfiber cycling jersey;{12F60253-F8E1-4F76-8142-6232396B8F17};2013-04-30 00:00:00
1212;Universal fit, well-vented, lightweight , snap-on visor.;{DBB1154B-0DE8-4B6B-A8F9-2A1244AED183};2013-04-30 00:00:00
1213;Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt.;{506D8A5B-E452-43B1-B764-4015E5E1237B};2013-04-30 00:00:00
1214;Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.;{C0758C2E-8909-4CDF-A231-8A44623AE721};2013-04-30 00:00:00
1215;Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle.;{C05E5CB3-E639-4AE4-83FA-3FD61A4550BF};2013-04-30 00:00:00
1216;Wraps to fit front and rear tires, carrier and 2 keys included.;{41155353-E7A7-48BF-9C8E-B62372CA4738};2013-04-30 00:00:00
1360;