CurrencyCode,CurrencyName,CurrencyModifiedDate
AED,Emirati Dirham,2008-04-30T00:00:00.000Z
AFA,Afghani,2008-04-30T00:00:00.000Z
ALL,Lek,2008-04-30T00:00:00.000Z
AMD,Armenian Dram,2008-04-30T00:00:00.000Z
ANG,Netherlands Antillian Guilder,2008-04-30T00:00:00.000Z
AOA,Kwanza,2008-04-30T00:00:00.000Z
ARS,Argentine Peso,2008-04-30T00:00:00.000Z
ATS,Shilling,2008-04-30T00:00:00.000Z
AUD,Australian Dollar,2008-04-30T00:00:00.000Z
AWG,Aruban Guilder,2008-04-30T00:00:00.000Z
AZM,Azerbaijanian Manat,2008-04-30T00:00:00.000Z
BBD,Barbados Dollar,2008-04-30T00:00:00.000Z
BDT,Taka,2008-04-30T00:00:00.000Z
BEF,Belgian Franc,2008-04-30T00:00:00.000Z
BGN,Bulgarian Lev,2008-04-30T00:00:00.000Z
BHD,Bahraini Dinar,2008-04-30T00:00:00.000Z
BND,Brunei Dollar,2008-04-30T00:00:00.000Z
BOB,Boliviano,2008-04-30T00:00:00.000Z
BRL,Brazilian Real,2008-04-30T00:00:00.000Z
BSD,Bahamian Dollar,2008-04-30T00:00:00.000Z
BTN,Ngultrum,2008-04-30T00:00:00.000Z
CAD,Canadian Dollar,2008-04-30T00:00:00.000Z
CHF,Swiss Franc,2008-04-30T00:00:00.000Z
CLP,Chilean Peso,2008-04-30T00:00:00.000Z
CNY,Yuan Renminbi,2008-04-30T00:00:00.000Z
COP,Colombian Peso,2008-04-30T00:00:00.000Z
CRC,Costa Rican Colon,2008-04-30T00:00:00.000Z
CYP,Cyprus Pound,2008-04-30T00:00:00.000Z
CZK,Czech Koruna,2008-04-30T00:00:00.000Z
DEM,Deutsche Mark,2008-04-30T00:00:00.000Z
DKK,Danish Krone,2008-04-30T00:00:00.000Z
DOP,Dominican Peso,2008-04-30T00:00:00.000Z
DZD,Algerian Dinar,2008-04-30T00:00:00.000Z
EEK,Kroon,2008-04-30T00:00:00.000Z
EGP,Egyptian Pound,2008-04-30T00:00:00.000Z
ESP,Spanish Peseta,2008-04-30T00:00:00.000Z
EUR,EURO,2008-04-30T00:00:00.000Z
FIM,Markka,2008-04-30T00:00:00.000Z
FJD,Fiji Dollar,2008-04-30T00:00:00.000Z
FRF,French Franc,2008-04-30T00:00:00.000Z
GBP,United Kingdom Pound,2008-04-30T00:00:00.000Z
GHC,Cedi,2008-04-30T00:00:00.000Z
GRD,Drachma,2008-04-30T00:00:00.000Z
GTQ,Quetzal,2008-04-30T00:00:00.000Z
HKD,Hong Kong Dollar,2008-04-30T00:00:00.000Z
HRK,Croatian Kuna,2008-04-30T00:00:00.000Z
HUF,Forint,2008-04-30T00:00:00.000Z
IDR,Rupiah,2008-04-30T00:00:00.000Z
IEP,Irish Pound,2008-04-30T00:00:00.000Z
ILS,New Israeli Shekel,2008-04-30T00:00:00.000Z
INR,Indian Rupee,2008-04-30T00:00:00.000Z
ISK,Iceland Krona,2008-04-30T00:00:00.000Z
ITL,Italian Lira,2008-04-30T00:00:00.000Z
JMD,Jamaican Dollar,2008-04-30T00:00:00.000Z
JOD,Jordanian Dinar,2008-04-30T00:00:00.000Z
JPY,Yen,2008-04-30T00:00:00.000Z
KES,Kenyan Shilling,2008-04-30T00:00:00.000Z
KRW,Won,2008-04-30T00:00:00.000Z
KWD,Kuwaiti Dinar,2008-04-30T00:00:00.000Z
LBP,Lebanese Pound,2008-04-30T00:00:00.000Z
LKR,Sri Lankan Rupee,2008-04-30T00:00:00.000Z
LTL,Lithuanian Litas,2008-04-30T00:00:00.000Z
LVL,Latvian Lats,2008-04-30T00:00:00.000Z
MAD,Moroccan Dirham,2008-04-30T00:00:00.000Z
MTL,Maltese Lira,2008-04-30T00:00:00.000Z
MUR,Mauritius Rupee,2008-04-30T00:00:00.000Z
MVR,Rufiyaa,2008-04-30T00:00:00.000Z
MXN,Mexican Peso,2008-04-30T00:00:00.000Z
MYR,Malaysian Ringgit,2008-04-30T00:00:00.000Z
NAD,Namibia Dollar,2008-04-30T00:00:00.000Z
NGN,Naira,2008-04-30T00:00:00.000Z
NLG,Netherlands Guilder,2008-04-30T00:00:00.000Z
NOK,Norwegian Krone,2008-04-30T00:00:00.000Z
NPR,Nepalese Rupee,2008-04-30T00:00:00.000Z
NZD,New Zealand Dollar,2008-04-30T00:00:00.000Z
OMR,Omani Rial,2008-04-30T00:00:00.000Z
PAB,Balboa,2008-04-30T00:00:00.000Z
PEN,Nuevo Sol,2008-04-30T00:00:00.000Z
PHP,Philippine Peso,2008-04-30T00:00:00.000Z
PKR,Pakistan Rupee,2008-04-30T00:00:00.000Z
PLN,Zloty,2008-04-30T00:00:00.000Z
PLZ,Polish Zloty(old),2008-04-30T00:00:00.000Z
PTE,Portuguese Escudo,2008-04-30T00:00:00.000Z
PYG,Guarani,2008-04-30T00:00:00.000Z
ROL,Leu,2008-04-30T00:00:00.000Z
RUB,Russian Ruble,2008-04-30T00:00:00.000Z
RUR,Russian Ruble(old),2008-04-30T00:00:00.000Z
SAR,Saudi Riyal,2008-04-30T00:00:00.000Z
SEK,Swedish Krona,2008-04-30T00:00:00.000Z
SGD,Singapore Dollar,2008-04-30T00:00:00.000Z
SIT,Tolar,2008-04-30T00:00:00.000Z
SKK,Slovak Koruna,2008-04-30T00:00:00.000Z
SVC,El Salvador Colon,2008-04-30T00:00:00.000Z
THB,Baht,2008-04-30T00:00:00.000Z
TND,Tunisian Dinar,2008-04-30T00:00:00.000Z
TRL,Turkish Lira,2008-04-30T00:00:00.000Z
TTD,Trinidad and Tobago Dollar,2008-04-30T00:00:00.000Z
TWD,New Taiwan Dollar,2008-04-30T00:00:00.000Z
USD,US Dollar,2008-04-30T00:00:00.000Z
UYU,Uruguayan Peso,2008-04-30T00:00:00.000Z
VEB,Bolivar,2008-04-30T00:00:00.000Z
VND,Dong,2008-04-30T00:00:00.000Z
XOF,CFA Franc BCEAO,2008-04-30T00:00:00.000Z
ZAR,Rand,2008-04-30T00:00:00.000Z
ZWD,Zimbabwe Dollar,2008-04-30T00:00:00.000Z
